year4,taxon,avg_ind_perhec,prop.err.stdev,weight.avg.g,weight.sd.g,biomass.g_perhec,biomass_prop.err.sd,biomass.prop.err.se
2007,LEPTODORA,1568066.6666666667,33.01700319532347,3.62933848440604e-5,1.9458733481448215e-5,56.91044699447632,32.78124819120116,9.011415725712666
2007,MYSIS,1116199.9999999998,35.55594183817945,0.0010179581837429362,3.2338073124556403e-6,1136.2449246938652,361.9626179619543,208.971941079854
2008,CHAOBORUS LARVAE,977600,40.980196436815675,9.966474606340737e-5,4.885382891849856e-5,97.43225575158705,62.84190612113231,24.501767348858245
2008,LEPTODORA,1424333.3333333333,49.06158273027889,5.103385254344553e-5,3.0632146342892646e-5,72.68921730604758,50.3042037375867,16.840130348496313
2008,MYSIS,766200,35.45817113163058,0.0010186371234323934,3.948777388332404e-6,780.4797639738998,361.20276617402845,164.40650925173432
2009,CHAOBORUS LARVAE,544666.6666666666,36.39230000975481,1.221968601909875e-4,5.96909053329062e-5,66.55655651735786,55.08729534128321,25.45393212339212
2009,LEPTODORA,3403533.333333333,131.20958425359026,5.411105560615024e-5,2.8852321956404788e-5,184.16878145738588,121.17776619145886,43.592461134675766
2009,MYSIS,1011500,43.19425887777217,0.0010207976168886228,2.1096356082590126e-6,1032.5367894828419,440.93112880782127,254.5696190907275
2010,CHAOBORUS LARVAE,1077166.6666666667,100.63874403031866,1.1056171332289965e-4,4.7061246339547565e-5,119.09339220098342,122.27146237673267,50.1356596794863
2010,LEPTODORA,2672666.6666666665,168.55992554578327,6.287278418872637e-5,3.538831226811242e-5,168.037994541736,142.0457681478993,59.1177902571477
2010,MYSIS,2038599.9999999998,52.90123817076496,0.0010209780015587651,6.659713110126644e-6,2081.365753977698,540.2806102670745,311.86220945169066
2011,CHAOBORUS LARVAE,1754799.9999999998,46.78328868303296,1.1591581338839397e-4,2.8912291647540442e-5,203.4090693339537,74.26223086153527,28.39364228125557
2011,LEPTODORA,2154866.6666666665,94.69493809069205,4.592319778086875e-5,2.631587711177256e-5,98.9583681247347,71.46202858766577,22.606786859046707
2011,MYSIS,1547433.3333333333,59.37262416299283,0.0010253855338658018,7.110488044553007e-6,1586.7157546217372,608.8977215493506,337.70399352131227
2012,CHAOBORUS LARVAE,1657433.3333333333,132.29374663981665,1.0921522002660576e-4,4.50141728268224e-5,181.0169461794306,162.61070213122625,72.33481126708617
2012,LEPTODORA,5046866.666666666,69.23124150266266,3.754887862684457e-5,2.976825880648713e-5,189.5041839125343,152.4688646930573,32.499921633000476
2012,MYSIS,1077433.3333333333,41.39472188576703,0.001018117522091169,5.964957770738589e-6,1096.9537555517618,421.4959168932304,243.32359148778391
2013,CHAOBORUS LARVAE,165799.99999999997,6.5142075496563665,1.051955287509996e-4,3.47364685467286e-5,17.44141866691573,8.951451992642253,3.9653575866943296
2013,LEPTODORA,2049599.9999999998,74.29119597906606,4.983908902950329e-5,3.7281280402354274e-5,102.15019687486992,84.90982599210218,26.001676007527728
2013,MYSIS,549733.3333333334,43.30862962505279,0.0010192735547396338,3.0870606933779907e-6,560.3286488255347,441.4366707913762,254.85519378739437
2014,CHAOBORUS LARVAE,118533.33333333333,9.060248340967261,1.0992237378247112e-4,4.5182255540144026e-5,13.02946537234891,11.307915352864185,4.763755327996751
2014,LEPTODORA,11010966.666666668,423.6084682817377,4.6509658594114166e-5,3.395246829115108e-5,512.116300457838,422.5871203697063,113.52433744713707
2014,MYSIS,1046066.6666666666,62.0990933911277,0.0010214047089637205,5.472573830525874e-6,1068.4574192233158,634.3088974292529,365.978489181346
2015,BYTHOTREPHES,378833.3333333333,26.72042102961703,1.9223717932324974e-5,7.66323239473437e-6,7.282585143362444,5.900269349293485,2.6141776713294798
2015,CHAOBORUS LARVAE,28866.666666666664,2.4416387939250965,1.0992237378247112e-4,4.5182255540144026e-5,3.1730925231873326,2.9840334370005688,1.3236032990597415
2015,LEPTODORA,1399.9999999999998,0.6,4.6509658594114166e-5,3.395246829115108e-5,0.06511352203175982,0.28307732112177203,0.16119763670589013
2015,MYSIS,903999.9999999999,18.35250391635975,0.0010214047089637205,5.472573830525874e-6,923.3498569032032,187.51861037561983,108.22906263528796
2016,BYTHOTREPHES,2003199.9999999998,105.17086573761766,1.7273813570910343e-5,6.345323314969107e-6,34.6029033452476,22.172254772152066,10.781905176762532
2016,CHAOBORUS LARVAE,138933.3333333333,7.009229629567004,1.0833943428478704e-4,4.0459569239257985e-5,15.051958736633077,9.447903635432212,4.157577950783506
2016,LEPTODORA,479300,24.095348098751344,5.4973358608828305e-5,3.429619765112801e-5,26.348730781211408,21.110908408743512,7.87017920799068
2016,MYSIS,810066.6666666665,34.45571795798195,0.001023959608384054,6.9412776111607585e-6,829.4755467649758,352.8574388606743,203.69530492945137
2017,BYTHOTREPHES,6564533.333333332,159.63434812094795,2.1173622293739605e-5,8.468347890332179e-6,138.9949493346634,65.05994916759252,22.031799529487916
2017,CHAOBORUS LARVAE,527100,27.387696142611194,1.1693931206749202e-4,5.9495296524602024e-5,61.63871139077504,44.82382667762113,18.587816984258016
2017,LEPTODORA,59133.333333333336,4.741856176646441,4.2440071967221286e-5,2.847397032363256e-5,2.509622922328352,2.6239272068903676,1.1244004574930684
2017,MYSIS,503633.3333333334,17.2004185995574,0.0010242681506400248,1.7525619088099978e-6,515.8555829340046,176.1806204997736,101.71703510508029
2018,BYTHOTREPHES,5600566.666666666,395.9700828345495,1.858048594166462e-5,7.2450994213449e-6,104.06125021535546,84.02068922185347,36.79897660710915
2018,CHAOBORUS LARVAE,178500,9.8430991054647,7.5486603722099e-5,3.803114878859428e-5,13.47435876439467,10.064429193248731,4.382058252617045
2018,LEPTODORA,61666.666666666664,4.334616476690874,4.378100353156964e-5,2.8686142456103482e-5,2.699828551113461,2.5943588239530015,1.007627933794294
2018,MYSIS,522833.3333333333,50.68865948118968,0.0010190623970189896,3.36811808640017e-6,532.799789908095,516.55206996381,298.224225405448
2019,BYTHOTREPHES,2645233.333333333,70.44811211097144,1.9014158268407885e-5,6.721056768580574e-6,50.296885256868144,22.260133606531916,8.003918133644673
2019,CHAOBORUS LARVAE,26033.333333333332,1.9057806799314554,9.925940341713111e-5,4.870783978814706e-5,2.5840531356259797,2.277344030759257,0.9653266316877239
2019,LEPTODORA,537033.3333333333,13.323055205169721,3.1524320397176575e-5,1.3466219097760343e-5,16.929610863963724,8.362958598921391,2.6710501203299497
2019,MYSIS,387633.3333333333,17.349942363016655,0.0010172551976361172,3.1771765228092527e-6,394.3220231103469,176.49748743835673,101.67954593688289
2020,BYTHOTREPHES,0,0,NA,NA,NA,NA,NA
2020,CHAOBORUS LARVAE,138633.3333333333,7.360468735073875,1.053522944618023e-4,3.765681784555386e-5,14.605339755554525,9.347972457569872,4.381940568613532
2020,LEPTODORA,861533.3333333334,33.74998222221754,4.694560202343178e-5,2.9523525788751132e-5,40.44520099658726,29.966669323932948,10.334049540361944
2020,MYSIS,555966.6666666666,27.828303936819434,0.0010251719838826475,7.1213402054919304e-6,569.9614506392892,285.3154473175136,164.71584789042404
