"","lake","year","spp","N","density","sd","se","ci"
"99","Trout",2004,"lake whitefish",32,0,0,0,0
"100","Trout",2004,"walleye",32,0,0,0,0
"101","Trout",2004,"white bass",32,0,0,0,0
"102","Trout",2004,"yellow perch",32,0,0,0,0
"103","Trout",2005,"cisco",34,6825.66009584287,12057.043901396,2067.76597009053,4206.90149769435
"104","Trout",2005,"lake trout",34,0,0,0,0
"105","Trout",2005,"lake whitefish",34,0,0,0,0
"106","Trout",2005,"walleye",34,0,0,0,0
"107","Trout",2005,"white bass",34,0,0,0,0
"108","Trout",2005,"yellow perch",34,0,0,0,0
"109","Trout",2006,"cisco",33,8141.99728330095,9172.92269085114,1596.8008802862,3252.5769559214
"110","Trout",2006,"lake trout",33,0,0,0,0
"111","Trout",2006,"lake whitefish",33,0,0,0,0
"112","Trout",2006,"walleye",33,0,0,0,0
"113","Trout",2006,"white bass",33,0,0,0,0
"114","Trout",2006,"yellow perch",33,0,0,0,0
"115","Trout",2007,"cisco",32,1259.8482693855,1465.34644718439,259.039102397924,528.313732483021
"116","Trout",2007,"lake trout",32,74.9909684130733,87.2230028059676,15.4189941898882,31.4472459801852
"117","Trout",2007,"lake whitefish",32,59.9927747316795,69.778402245932,12.3351953521153,25.1577967845656
"118","Trout",2007,"walleye",32,104.987355782421,122.112203930764,21.5865918662694,44.0261443731278
"119","Trout",2007,"white bass",32,0,0,0,0
"120","Trout",2007,"yellow perch",32,0,0,0,0
"121","Trout",2008,"cisco",33,574.607639446772,562.818462330119,97.9741186510173,199.566749076373
"122","Trout",2008,"lake trout",33,40.6360241289834,39.8022982049059,6.9286907731597,14.1132812623733
"123","Trout",2008,"lake whitefish",33,54.1813655040742,53.0697309358263,9.23825436350822,18.8177083483957
"124","Trout",2008,"walleye",33,43.4876749450245,42.5954419372248,7.41491468682913,15.1036869645143
"125","Trout",2008,"white bass",33,0,0,0,0
"126","Trout",2008,"yellow perch",33,0,0,0,0
"127","Trout",2009,"cisco",33,417.170943474719,552.139508720467,96.1151514385895,195.78015677698
"128","Trout",2009,"lake trout",33,79.5405932223486,105.27459966347,18.3259555410913,37.3287498924162
"129","Trout",2009,"lake whitefish",33,0,0,0,0
"130","Trout",2009,"walleye",33,59.516387935685,78.7719032451247,13.7124282720803,27.9313023672054
"131","Trout",2009,"white bass",33,0,0,0,0
"132","Trout",2009,"yellow perch",33,0,0,0,0
"133","Trout",2010,"cisco",33,629.766177685187,579.419893327839,100.864056844611,205.453360543442
"134","Trout",2010,"lake trout",33,52.3522005907054,48.1669348957285,8.38478712121912,17.0792524650261
"135","Trout",2010,"lake whitefish",33,40.8039210467307,37.5418757286186,6.53520172701803,13.3117703040011
"136","Trout",2010,"walleye",33,46.9630034694889,43.2085739517068,7.52164727070155,15.3210941234376
"137","Trout",2010,"white bass",33,0,0,0,0
"138","Trout",2010,"yellow perch",33,0,0,0,0
"139","Trout",2011,"cisco",32,148.268041156265,133.709092840345,23.6366515634273,48.2072686913967
"140","Trout",2011,"lake trout",32,91.5773195369216,82.5850279286888,14.5991083182141,29.7750777203952
"141","Trout",2011,"lake whitefish",32,104.659793755193,94.3828890596223,16.6846952205091,34.0286602512543
"142","Trout",2011,"walleye",32,91.5773195369216,82.5850279286888,14.5991083182141,29.7750777203952
"143","Trout",2011,"white bass",32,0,0,0,0
"144","Trout",2011,"yellow perch",32,0,0,0,0
"145","Trout",2012,"cisco",33,0,0,0,0
"146","Trout",2012,"lake trout",33,0,0,0,0
"147","Trout",2012,"lake whitefish",33,0,0,0,0
"148","Trout",2012,"walleye",33,0,0,0,0
"149","Trout",2012,"white bass",33,462.827565476597,503.77155184006,87.695370881482,178.629625015591
"150","Trout",2012,"yellow perch",33,521.911935535889,568.082813776215,98.8905246108807,201.433406932165
"151","Trout",2013,"cisco",33,1619.63485843531,1850.40601373972,322.114341438137,656.125442482034
"152","Trout",2013,"lake trout",33,49.186308062078,56.1945427067105,9.78221427188651,19.9257184232769
"153","Trout",2013,"lake whitefish",33,42.1596926262538,48.1667508943226,8.38475509068568,17.0791872209645
"154","Trout",2013,"walleye",33,45.6730003454469,52.1806468055526,9.08348468216277,18.5024528239064
"155","Trout",2013,"white bass",33,0,0,0,0
"156","Trout",2013,"yellow perch",33,0,0,0,0
"157","Trout",2014,"cisco",33,-3.34793752269481,0.999392601155865,0.173971921388681,0.354369207502423
"158","Trout",2014,"lake trout",33,0,0,0,0
"159","Trout",2014,"lake whitefish",33,0,0,0,0
"160","Trout",2014,"walleye",33,0,0,0,0
"161","Trout",2014,"white bass",33,0,0,0,0
"162","Trout",2014,"yellow perch",33,0,0,0,0
"163","Trout",2015,"cisco",33,1194.47257451732,1225.21293365941,213.282195538034,434.441615657799
"164","Trout",2015,"lake trout",33,31.7678876199235,32.5854503624376,5.67239881735388,11.5542982884718
"165","Trout",2015,"lake whitefish",33,35.5800341356361,36.4957044086828,6.35308667591552,12.9408140840644
"166","Trout",2015,"walleye",33,8.8950085321862,9.12392610175195,1.58827166890599,3.23520352086763
"167","Trout",2015,"white bass",33,0,0,0,0
"168","Trout",2015,"yellow perch",33,0,0,0,0
"169","Trout",2016,"cisco",33,2446.28536751359,2192.2998796733,381.630424205487,777.355735942979
"170","Trout",2016,"lake trout",33,0,0,0,0
"171","Trout",2016,"lake whitefish",33,128.751861447414,115.384204193606,20.0858118003366,40.91345978657
"172","Trout",2016,"walleye",33,0,0,0,0
"173","Trout",2016,"white bass",33,0,0,0,0
"174","Trout",2016,"yellow perch",33,0,0,0,0
"175","Trout",2017,"cisco",33,3329.12615641149,3247.71912671051,565.355332780252,1151.59112824308
"176","Trout",2017,"lake trout",33,10.2434650983729,9.99298192809534,1.73955487005049,3.54335731758424
"177","Trout",2017,"lake whitefish",33,47.8028371178769,46.6339156668959,8.11792272732893,16.5356674829289
"178","Trout",2017,"walleye",33,27.3159069244001,26.6479518076407,4.6388129866945,9.44895284667377
"179","Trout",2017,"white bass",33,0,0,0,0
"180","Trout",2017,"yellow perch",33,0,0,0,0
"181","Trout",2018,"cisco",33,1397.49184310347,1074.77081794905,187.093584678158,381.097160978417
"182","Trout",2018,"lake trout",33,0,0,0,0
"183","Trout",2018,"lake whitefish",33,7.13006042291188,5.48352458226706,0.954559105656498,1.94437327061517
"184","Trout",2018,"walleye",33,21.390181270591,16.4505737448416,2.86367731662836,5.83311981115066
"185","Trout",2018,"white bass",33,0,0,0,0
"186","Trout",2018,"yellow perch",33,0,0,0,0
"187","Trout",2019,"cisco",42,775.725721651124,798.840993012942,123.263841308941,248.93637769739
"188","Trout",2019,"lake trout",42,10.5928932582374,10.9085429730735,1.68322472395068,3.39934129247827
"189","Trout",2019,"lake whitefish",42,28.5193280012329,29.3691541538142,4.53175887148662,9.1520727091284
"190","Trout",2019,"walleye",42,0,0,0,0
"191","Trout",2019,"white bass",42,0,0,0,0
"192","Trout",2019,"yellow perch",42,0,0,0,0
"193","Trout",2020,"cisco",49,744.554584294419,317.370970867418,45.3387101239169,91.159586440997
"194","Trout",2020,"lake whitefish",49,76.1476279381026,32.4583947492648,4.63691353560926,9.32313952279425
"195","Trout",2020,"walleye",49,25.3825426464507,10.8194649165623,1.54563784522319,3.10771317430516
