,lake,year,spp,N,density,sd,se,ci
140,Trout,2011,lake trout,32,91.57731954,82.58502793,14.59910832,29.77507772
141,Trout,2011,lake whitefish,32,104.6597938,94.38288906,16.68469522,34.02866025
142,Trout,2011,walleye,32,91.57731954,82.58502793,14.59910832,29.77507772
143,Trout,2011,white bass,32,0,0,0,0
144,Trout,2011,yellow perch,32,0,0,0,0
145,Trout,2012,cisco,33,446.371,0,0,0
146,Trout,2012,lake trout,33,35.84,0,0,0
147,Trout,2012,lake whitefish,33,44.52,0,0,0
148,Trout,2012,walleye,33,16.29,0,0,0
149,Trout,2012,white bass,33,0,0,0,0
150,Trout,2012,yellow perch,33,0,0,0,0
151,Trout,2013,cisco,33,1619.634858,1850.406014,322.1143414,656.1254425
152,Trout,2013,lake trout,33,49.18630806,56.19454271,9.782214272,19.92571842
153,Trout,2013,lake whitefish,33,42.15969263,48.16675089,8.384755091,17.07918722
154,Trout,2013,walleye,33,45.67300035,52.18064681,9.083484682,18.50245282
155,Trout,2013,white bass,33,0,0,0,0
156,Trout,2013,yellow perch,33,0,0,0,0
157,Trout,2014,cisco,33,2647.436152,0,0,0
158,Trout,2014,lake trout,33,0,0,0,0
159,Trout,2014,lake whitefish,33,0,0,0,0
160,Trout,2014,walleye,33,0,0,0,0
161,Trout,2014,white bass,33,0,0,0,0
162,Trout,2014,yellow perch,33,0,0,0,0
163,Trout,2015,cisco,33,1194.472575,1225.212934,213.2821955,434.4416157
164,Trout,2015,lake trout,33,31.76788762,32.58545036,5.672398817,11.55429829
165,Trout,2015,lake whitefish,33,35.58003414,36.49570441,6.353086676,12.94081408
166,Trout,2015,walleye,33,8.895008532,9.123926102,1.588271669,3.235203521
167,Trout,2015,white bass,33,0,0,0,0
168,Trout,2015,yellow perch,33,0,0,0,0
169,Trout,2016,cisco,33,2446.285368,2192.29988,381.6304242,777.3557359
170,Trout,2016,lake trout,33,0,0,0,0
171,Trout,2016,lake whitefish,33,128.7518614,115.3842042,20.0858118,40.91345979
172,Trout,2016,walleye,33,0,0,0,0
173,Trout,2016,white bass,33,0,0,0,0
174,Trout,2016,yellow perch,33,0,0,0,0
175,Trout,2017,cisco,33,3329.126156,3247.719127,565.3553328,1151.591128
176,Trout,2017,lake trout,33,10.2434651,9.992981928,1.73955487,3.543357318
177,Trout,2017,lake whitefish,33,47.80283712,46.63391567,8.117922727,16.53566748
178,Trout,2017,walleye,33,27.31590692,26.64795181,4.638812987,9.448952847
179,Trout,2017,white bass,33,0,0,0,0
180,Trout,2017,yellow perch,33,0,0,0,0
181,Trout,2018,cisco,33,1397.491843,1074.770818,187.0935847,381.097161
182,Trout,2018,lake trout,33,0,0,0,0
183,Trout,2018,lake whitefish,33,7.130060423,5.483524582,0.954559106,1.944373271
184,Trout,2018,walleye,33,21.39018127,16.45057374,2.863677317,5.833119811
185,Trout,2018,white bass,33,0,0,0,0
186,Trout,2018,yellow perch,33,0,0,0,0
187,Trout,2019,cisco,42,775.7257217,798.840993,123.2638413,248.9363777
188,Trout,2019,lake trout,42,10.59289326,10.90854297,1.683224724,3.399341292
189,Trout,2019,lake whitefish,42,28.519328,29.36915415,4.531758871,9.152072709
190,Trout,2019,walleye,42,0,0,0,0
191,Trout,2019,white bass,42,0,0,0,0
192,Trout,2019,yellow perch,42,0,0,0,0
193,Trout,2020,cisco,49,744.5545843,317.3709709,45.33871012,91.15958644
194,Trout,2020,lake whitefish,49,76.14762794,32.45839475,4.636913536,9.323139523
195,Trout,2020,walleye,49,25.38254265,10.81946492,1.545637845,3.107713174
196,Trout,2021,cisco,,1609.780784,,,
197,Trout,2021,lake whitefish,,33.91619204,,,
198,Trout,2021,walleye,,55.81557697,,,
199,Trout,2022,cisco,,2330.888394,,,
200,Trout,2022,lake trout,,7.417766561,,,
201,Trout,2022,lake whitefish,,25.48152507,,,
202,Trout,2022,walleye,,17.88045476,,,
203,Trout,2023,cisco,,712.7372385,,,
204,Trout,2023,lake trout,,3.619307837,,,
205,Trout,2023,lake whitefish,,14.4772319,,,
206,Trout,2023,walleye,,7.350901571,,,
