"lakeid","year4","sampledate","mid_sample_time","mid_latitude","mid_longitude","sv_mean","nasc","mean_height","mean_depth","number_pings","species","species_ts","density"
"TR",2008,"2008-07-31",238,46.031617,-89.667050,-63.194148,492.764612,23.85,13.70,17502.000000,"CISCO",-39.40,148105.351700
"TR",2008,"2008-07-31",238,46.031617,-89.667050,-63.194148,492.764612,23.85,13.70,17502.000000,"LAKETROUT",-29.40,10473.951670
"TR",2008,"2008-07-31",238,46.031617,-89.667050,-63.194148,492.764612,23.85,13.70,17502.000000,"WALLEYE",-34.10,11208.965820
"TR",2008,"2008-07-31",238,46.031617,-89.667050,-63.194148,492.764612,23.85,13.70,17502.000000,"LAKEWHITEFISH",-33.80,13965.268890
"ME",2008,"2008-08-14",2329,43.102068,-89.439664,-70.079749,72.872658,17.22,10.63,22591.000000,"CISCO",-33.20,4186.385110
"ME",2008,"2008-08-14",2329,43.102068,-89.439664,-70.079749,72.872658,17.22,10.63,22591.000000,"FRESHWATERDRUM",-35.60,2685.727063
"ME",2008,"2008-08-14",2329,43.102068,-89.439664,-70.079749,72.872658,17.22,10.63,22591.000000,"YELLOWPERCH",-38.50,12665.425110
"ME",2008,"2008-08-14",2329,43.102068,-89.439664,-70.079749,72.872658,17.22,10.63,22591.000000,"WHITEBASS",-40.00,12665.425110
"SP",2010,"2010-08-12",327,46.006300,-89.699708,-63.499584,244.818279,12.71,8.70,2515.000000,"RAINBOWSMELT",-45.50,691248.140300
"CR",2010,"2010-08-25",2038,46.001660,-89.615425,-58.589027,819.663690,13.74,8.18,6521.000000,"RAINBOWSMELT",-42.40,1047755.193000
"CR",2010,"2010-08-25",2038,46.001660,-89.615425,-58.589027,819.663690,13.74,8.18,6521.000000,"YELLOWPERCH",-40.20,51673.131240
"TR",2010,"2010-08-12",236,46.033775,-89.663405,-61.773034,696.626327,24.31,14.97,5420.000000,"LAKEWHITEFISH",-33.20,12797.462410
"TR",2010,"2010-08-12",236,46.033775,-89.663405,-61.773034,696.626327,24.31,14.97,5420.000000,"CISCO",-38.50,197515.551800
"TR",2010,"2010-08-12",236,46.033775,-89.663405,-61.773034,696.626327,24.31,14.97,5420.000000,"LAKETROUT",-30.20,16419.385730
"TR",2010,"2010-08-12",236,46.033775,-89.663405,-61.773034,696.626327,24.31,14.97,5420.000000,"WALLEYE",-34.10,14729.154840
"ME",2010,"2010-08-23",2051,43.114958,-89.434140,-66.302070,163.638283,16.20,10.57,18957.000000,"CISCO",-37.70,11888.420360
"ME",2010,"2010-08-23",2051,43.114958,-89.434140,-66.302070,163.638283,16.20,10.57,18957.000000,"WHITEBASS",-37.40,51749.594500
"ME",2010,"2010-08-23",2051,43.114958,-89.434140,-66.302070,163.638283,16.20,10.57,18957.000000,"YELLOWPERCH",-37.10,3146.934801
"ME",2010,"2010-08-23",2051,43.114958,-89.434140,-66.302070,163.638283,16.20,10.57,18957.000000,"FRESHWATERDRUM",-35.10,3146.934801
"CR",2011,"2011-07-28",2134,46.001318,-89.615495,-56.584294,1263.095015,13.35,7.89,6244.000000,"RAINBOWSMELT",-45.99,3387674.768000
"CR",2011,"2011-07-28",2134,46.001318,-89.615495,-56.584294,1263.095015,13.35,7.89,6244.000000,"YELLOWPERCH",-40.50,170807.131100
"ME",2011,"2011-08-28",2022,43.095391,-89.408208,-66.433865,158.993663,16.23,10.17,39838.000000,"WHITEBASS",55.00,50550.448670
"ME",2011,"2011-08-28",2022,43.095391,-89.408208,-66.433865,158.993663,16.23,10.17,39838.000000,"YELLOWPERCH",45.00,41359.458000
"SP",2011,"2011-08-25",2334,46.006419,-89.701194,-59.508494,618.716749,12.82,7.98,4681.000000,"RAINBOWSMELT",-47.00,2467641.178000
"TR",2011,"2011-08-25",2225,46.036110,-89.669303,-62.254254,618.741866,24.12,14.26,7543.000000,"CISCO",-38.00,38792.017140
"TR",2011,"2011-08-25",2225,46.036110,-89.669303,-62.254254,618.741866,24.12,14.26,7543.000000,"LAKETROUT",-31.00,23959.775290
"TR",2011,"2011-08-25",2225,46.036110,-89.669303,-62.254254,618.741866,24.12,14.26,7543.000000,"LAKEWHITEFISH",-33.20,27382.600330
"TR",2011,"2011-08-25",2225,46.036110,-89.669303,-62.254254,618.741866,24.12,14.26,7543.000000,"WALLEYE",-33.40,23959.775290
"TR",2012,"2012-07-23",2234,46.037510,-89.661827,-62.576051,611.302827,25.67,14.33,8133.000000,"CISCO",-38.00,153105.239900
"TR",2012,"2012-07-23",2234,46.037510,-89.661827,-62.576051,611.302827,25.67,14.33,8133.000000,"walleye",-32.80,5587.782478
"TR",2012,"2012-07-23",2234,46.037510,-89.661827,-62.576051,611.302827,25.67,14.33,8133.000000,"LAKETROUT",-29.50,12293.121450
"TR",2012,"2012-07-23",2234,46.037510,-89.661827,-62.576051,611.302827,25.67,14.33,8133.000000,"LAKEWHITEFISH",-33.00,15273.272110
"SP",2012,"2012-07-23",2130,46.006404,-89.700806,-59.163738,687.035005,13.15,7.91,4340.000000,"RAINBOWSMELT",-45.00,1675302.469000
"SP",2012,"2012-07-23",2130,46.006404,-89.700806,-59.163738,687.035005,13.15,7.91,4340.000000,"walleye",-48.00,106934.200200
"ME",2012,"2012-07-31",2108,43.114042,-89.431389,-67.915958,113.820416,16.34,9.55,15032.000000,"whitebass",-38.00,28174.007030
"ME",2012,"2012-07-31",2108,43.114042,-89.431389,-67.915958,113.820416,16.34,9.55,15032.000000,"yellowperch",-38.40,31770.688780
"CR",2012,"2012-07-19",2151,46.001295,-89.614911,-56.578608,1295.530405,13.67,8.11,7889.000000,"RAINBOWSMELT",-45.00,2893668.834000
"CR",2012,"2012-07-19",2151,46.001295,-89.614911,-56.578608,1295.530405,13.67,8.11,7889.000000,"yellowperch",-41.00,145899.268900
"CR",2013,"2010-08-25",2038,46.001660,-89.615425,-58.632825,810.098844,13.72,8.17,6521.000000,"RAINBOWSMELT",-45.64,1840141.854000
"CR",2013,"2010-08-25",2038,46.001660,-89.615425,-58.632825,810.098844,13.72,8.17,6521.000000,"YELLOWPERCH",-40.20,149200.690800
"SP",2013,"2013-08-15",2225,46.009431,-89.697953,-58.884765,719.362938,12.91,7.84,5918.000000,"RAINBOWSMELT",-47.49,443984.400500
"SP",2013,"2013-08-15",2225,46.009431,-89.697953,-58.884765,719.362938,12.91,7.84,5918.000000,"WALLEYE",-30.00,49331.600060
"TR",2013,"2013-08-14",2103,46.038156,-89.667362,-60.963960,848.986348,24.59,14.60,9389.000000,"WALLEYE",-33.20,13375.459870
"TR",2013,"2013-08-14",2103,46.038156,-89.667362,-60.963960,848.986348,24.59,14.60,9389.000000,"LAKEWHITEFISH",-33.10,12346.578340
"TR",2013,"2013-08-14",2103,46.038156,-89.667362,-60.963960,848.986348,24.59,14.60,9389.000000,"LAKETROUT",-30.50,14404.341400
"TR",2013,"2013-08-14",2103,46.038156,-89.667362,-60.963960,848.986348,24.59,14.60,9389.000000,"CISCO",-40.50,474314.384700
"ME",2013,"2013-08-13",2216,43.111770,-89.439975,-70.425911,65.041846,16.65,9.92,15971.000000,"WHITEBASS",-36.50,2001.151778
"ME",2013,"2013-08-13",2216,43.111770,-89.439975,-70.425911,65.041846,16.65,9.92,15971.000000,"YELLOWPERCH",-37.50,26586.730760
"CR",2014,"2014-08-06",2050,46.002684,-89.612820,-59.433533,552.304443,11.25,7.51,9835.000000,"RAINBOWSMELT",-45.64,1555544.091400
"CR",2014,"2014-08-06",2050,46.002684,-89.612820,-59.433533,552.304443,11.25,7.51,9835.000000,"YELLOWPERCH",-40.20,15712.566580
"ME",2014,"2014-08-14",2013,43.105766,-89.434848,-70.524030,65.773590,17.22,10.28,18690.000000,"YELLOWPERCH",-47.10,268436.569900
"SP",2014,"2014-08-07",2252,46.009022,-89.700150,-60.932610,422.253930,12.14,7.90,13755.000000,"RAINBOWSMELT",-47.70,1978626.567300
"TR",2014,"2014-08-07",2053,46.036815,-89.660600,-60.999588,885.787257,25.87,14.66,6301.000000,"CISCO",-41.10,908070.493600
"CR",2015,"2015-07-29",1849,46.001450,-89.614553,-67.471022,111.829423,14.49,8.63,5329.000000,"RAINBOWSMELT",-43.60,138629.333000
"CR",2015,"2015-07-29",1849,46.001450,-89.614553,-67.471022,111.829423,14.49,8.63,5329.000000,"YELLOWPERCH",-43.60,65237.333160
"ME",2015,"2015-08-04",1841,43.117777,-89.433941,-71.025467,58.470899,17.18,10.06,12599.000000,"WHITEBASS",-45.00,97442.841190
"ME",2015,"2015-08-04",1841,43.117777,-89.433941,-71.025467,58.470899,17.18,10.06,12599.000000,"FRESHWATERDRUM",-45.00,48721.420600
"SP",2015,"2015-07-29",1957,46.010374,-89.700917,-61.929026,384.105257,13.90,8.36,3155.000000,"RAINBOWSMELT",-46.80,1462986.731000
"TR",2015,"2015-07-30",1916,46.038646,-89.655986,-61.785406,748.363506,26.19,14.67,7797.000000,"CISCO",-40.00,421699.834200
"TR",2015,"2015-07-30",1916,46.038646,-89.655986,-61.785406,748.363506,26.19,14.67,7797.000000,"LAKETROUT",-30.00,11215.421120
"TR",2015,"2015-07-30",1916,46.038646,-89.655986,-61.785406,748.363506,26.19,14.67,7797.000000,"LAKEWHITEFISH",-34.00,12561.271660
"TR",2015,"2015-07-30",1916,46.038646,-89.655986,-61.785406,748.363506,26.19,14.67,7797.000000,"WALLEYE",-34.30,3140.317914
"CR",2016,"2016-07-25",2122,46.001903,-89.615515,-62.551027,332.775418,13.89,8.69,5011.000000,"RAINBOWSMELT",-45.00,484932.091800
"CR",2016,"2016-07-25",2122,46.001903,-89.615515,-62.551027,332.775418,13.89,8.69,5011.000000,"YELLOWPERCH",-39.80,106448.508000
"ME",2016,"2016-08-17",2340,43.105993,-89.451383,-67.062146,133.832700,15.79,8.79,94932.000000,"WHITEBASS",-38.00,36015.750070
"ME",2016,"2016-08-17",2340,43.105993,-89.451383,-67.062146,133.832700,15.79,8.79,94932.000000,"CISCO",-33.50,11063.661790
"SP",2016,"2016-07-24",2105,46.008832,-89.699897,-58.837730,706.063027,12.54,8.33,3298.000000,"RAINBOWSMELT",-47.10,2881599.408000
"TR",2016,"2016-07-24",2301,46.039106,-89.668236,-59.469064,1164.322838,23.90,13.82,10902.000000,"CISCO",-39.00,613262.249200
"TR",2016,"2016-07-24",2301,46.039106,-89.668236,-59.469064,1164.322838,23.90,13.82,10902.000000,"LAKEWHITEFISH",-33.20,32276.960480
"CR",2017,"2017-08-07",2029,46.001716,-89.616163,-69.496305,66.773326,13.80,9.28,3426.000000,"YELLOWPERCH",-41.60,30870.217040
"CR",2017,"2017-08-07",2029,46.001716,-89.616163,-69.496305,66.773326,13.80,9.28,3426.000000,"RAINBOWSMELT",-42.00,50367.196230
"ME",2017,"2017-08-07",27,43.097968,-89.454015,-65.741624,191.559743,16.67,9.52,105812.000000,"WALLEYE",-37.40,31954.079430
"ME",2017,"2017-08-07",27,43.097968,-89.454015,-65.741624,191.559743,16.67,9.52,105812.000000,"WHITEBASS",-37.90,15977.039720
"ME",2017,"2017-08-07",27,43.097968,-89.454015,-65.741624,191.559743,16.67,9.52,105812.000000,"FRESHWATERDRUM",-35.90,15977.039720
"ME",2017,"2017-08-07",27,43.097968,-89.454015,-65.741624,191.559743,16.67,9.52,105812.000000,"CISCO",-34.70,8060.488505
"SP",2017,"2017-07-29",2047,46.007433,-89.702190,-61.310693,435.347793,13.66,9.50,7277.000000,"RAINBOWSMELT",-44.50,976397.104800
"TR",2017,"2017-07-29",2219,46.039480,-89.666035,-60.742255,901.988598,24.83,15.05,13076.000000,"CISCO",-41.50,860743.821100
"TR",2017,"2017-07-29",2219,46.039480,-89.666035,-60.742255,901.988598,24.83,15.05,13076.000000,"WALLEYE",-33.70,7062.513404
"TR",2017,"2017-07-29",2219,46.039480,-89.666035,-60.742255,901.988598,24.83,15.05,13076.000000,"LAKEWHITEFISH",-34.25,12359.398460
"TR",2017,"2017-07-29",2219,46.039480,-89.666035,-60.742255,901.988598,24.83,15.05,13076.000000,"LAKETROUT",-29.20,2648.442526
"CR",2018,"2018-07-17",2233,46.002656,-89.614520,-65.152144,170.845252,12.98,8.03,4670.000000,"RAINBOWSMELT",-41.80,97815.996390
"CR",2018,"2018-07-17",2233,46.002656,-89.614520,-65.152144,170.845252,12.98,8.03,4670.000000,"YELLOWPERCH",-40.50,80031.269780
"ME",2018,"2018-09-06",2118,43.086316,-89.401001,-68.558871,94.854157,15.79,9.99,28729.000000,"YELLOWPERCH",-38.70,36623.940350
"ME",2018,"2018-09-06",2118,43.086316,-89.401001,-68.558871,94.854157,15.79,9.99,28729.000000,"WHITEBASS",-38.00,16454.234070
"SP",2018,"2018-07-17",2355,46.007058,-89.701077,-61.569513,396.855891,13.22,7.87,9312.000000,"WALLEYE",-35.70,115982.965700
"SP",2018,"2018-07-17",2355,46.007058,-89.701077,-61.569513,396.855891,13.22,7.87,9312.000000,"RAINBOWSMELT",-43.60,8328.894646
"TR",2018,"2018-07-23",2109,46.038667,-89.666434,-64.105479,410.453418,24.51,13.76,13415.000000,"CISCO",-40.80,356476.953200
"TR",2018,"2018-07-23",2109,46.038667,-89.666434,-64.105479,410.453418,24.51,13.76,13415.000000,"WALLEYE",-33.60,5456.279896
"TR",2018,"2018-07-23",2109,46.038667,-89.666434,-64.105479,410.453418,24.51,13.76,13415.000000,"LAKEWHITEFISH",-34.60,1818.759965
"CR",2020,"2020-07-20",2133,46.001893,-89.613850,-69.149840,71.200826,13.58,8.31,5002.000000,"YELLOWPERCH",-39.76,27708.025210
"CR",2020,"2020-07-20",2133,46.001893,-89.613850,-69.149840,71.200826,13.58,8.31,5002.000000,"RAINBOWSMELT",-39.04,21947.933940
"SP",2020,"2020-07-20",2308,46.010930,-89.698305,-62.114471,376.722107,14.22,8.15,10051.000000,"RAINBOWSMELT",-40.80,360421.958900
"TR",2020,"2020-07-23",2300,46.037992,-89.671327,-61.504486,764.574925,25.08,13.93,14654.000000,"CISCO",-38.04,258435.370400
"TR",2020,"2020-07-23",2300,46.037992,-89.671327,-61.504486,764.574925,25.08,13.93,14654.000000,"LAKEWHITEFISH",-32.28,26430.890150
"TR",2020,"2020-07-23",2300,46.037992,-89.671327,-61.504486,764.574925,25.08,13.93,14654.000000,"WALLEYE",-32.80,8810.296717
"CR",2019,"2019-07-29",2132,46.002233,-89.614029,-69.854843,58.241948,13.07,8.53,5382.000000,"YELLOWPERCH",-41.00,26407.121310
"CR",2019,"2019-07-29",2132,46.002233,-89.614029,-69.854843,58.241948,13.07,8.53,5382.000000,"RAINBOWSMELT",-40.00,25371.547930
"ME",2019,"2019-09-04",2026,43.092235,-89.397470,-64.005991,281.829120,16.45,9.22,25438.000000,"UNKNOWN",-38.32,152326.688500
"SP",2019,"2019-07-22",2328,46.007581,-89.700038,-64.017582,243.131919,14.23,8.55,8902.000000,"RAINBOWSMELT",-41.30,260994.956200
"TR",2019,"2019-08-06",2138,46.041025,-89.662911,-62.134219,659.603204,25.02,14.01,12206.000000,"YELLOWPERCH",-41.50,365888.825200
"TR",2019,"2019-08-06",2138,46.041025,-89.662911,-62.134219,659.603204,25.02,14.01,12206.000000,"RAINBOWSMELT",-41.30,358643.502000
